KEY;TR;EN
errorregistration;Kayıt Hatası;Registration Error
chooseatleastonedtype;Lütfen en az bir atık türü seçiniz!;Please choose at least one type of disposal!
alreadyregisteredtaxno;Bu vergi kimlik numarası zaten kayıtlı!;This tax ID number is already registered!
lengthpass;Parola en az {0}, en fazla {1} karakterden oluşabilir!;The password must be at least {0} and no more than {1} characters long!
rulespass;Parola en az bir büyük harf, bir küçük harf ve bir rakam içermelidir!;The password must contain at least one uppercase letter, one lowercase letter, and one number!
formatdate;Yanlış tarih formatı! YYYY-MM-DD şeklinde giriniz.;Wrong date format! Please enter as YYYY-MM-DD.
invalidbirthdate;Gelecekten geliyorsun herhalde?;You must be from the future, right?
errorbirthdatelow;Üzgünüm, yaşınız çok küçük.;Sorry, you're too young.
errorbirthdatehigh;1. Dünya Savaşı'na da katıldın mı?;Did you partake in WWI?
emptyname;İsim soyisim boş bırakılamaz!;First and last name can't be empty!
invalidname;Lütfen geçerli bir isim soyisim giriniz!;Please enter a valid first and last name!
rulesname;İsim ve soyisim en az {0}, en fazla {1} karakterden oluşabilir.;The first and last name can consist of a minimum of {0} and a maximum of {1} characters.
rulesemail;E-posta adresleri maksimum {0} karakterden oluşabilir.;Email can consist of a maximum of {0} characters.
rulecountrycode;Numaranın başına ülke kodu eklenmelidir!;The country code must be included at the beginning of the number!
rulesphone;İletişim numarası en az {0}, en fazla {1} karakterden oluşmalıdır!;Contact number can consist of a minimum of {0} and a maximum of {1} characters.
formatphone;Yanlış iletişim numarası formatı! '+905056471243' gibi olmalıdır.;Wrong contact number format! Must be like: '+905056471243'.
emptycname;Şirket ismi boş bırakılamaz!;Company name can't be empty!
rulescname;Şirket ismi en fazla {0} karakterden oluşabilir.;Company name can consist of a maximum of {0} characters.
formatfax;Faks numarası 'xxx-xxx-xxxx' formatında olmalıdır.;Fax number must be like: 'xxx-xxx-xxxx'
emptytaxno;Lütfen vergi kimlik numarası giriniz!;Please enter a tax ID number!
formattaxno;Vergi kimlik numarasında yalnızca sayı bulunabilir!;Tax ID number can only consist of numbers!
rulestaxno;Vergi kimlik numarası en az {0}, en fazla {1} haneli olabilir.;The tax ID number can consist of a minimum of {0} and a maximum of {1} characters.
successfulllogout;Çıkış başarılı.;Log out successfull.
confirmlogout;Çıkış yapmak istediğinize emin misiniz?;Are you sure you want to log out?
errornotfounduser;Kullanıcı bulunamadı, lütfen tekrar giriş yapın.;User couldn't be found, please log in again.
errorsession;Oturum hatası, please log in again.;Session error, please log in again.
disposalreserved;Atık rezerve edildi!;Disposal reserved!
failed;İşlem başarısız.;Action failed
outofscope;Kapsam Dışı;Out of Scope
outofscopetext;Şirketiniz bu atık türünü işleme yetkisine sahip değil.;Your company does not have the authority to process this type of disposal.
pendingaction;İşlem Bekleniyor;Pending Action
confirmreservationcancel;Bu rezervasyonu iptal etmek istediğinize emin misiniz?;Are you sure you want to cancel this reservation?
confirmrecycle;Bu atığı geri dönüştürdüğünüzü onaylıyor musunuz?;Do you confirm you recycled this disposal?
loading;Yükleniyor...;Loading...
choose;Seçiniz...;Choose...
erroraddresschoose;Lütfen adresinizi eksiksiz seçiniz.;Please choose your address completely.
emptyaddress;Lütfen adresi tam giriniz.;Please enter address completely.
emptybuildinginfo;Lütfen bina, kat ve daire numaralarını giriniz.;Please enter building, floor and door numbers.
successfullupdate;Bilgiler başarıyla güncellendi!;Information successfully updated!
failedupdate;Güncelleme başarısız.;Update failed.
emptyinput;Lütfen tüm alanları doldurun!;Please fill all fields!
emptyaddressinput;Lütfen il, ilçe, mahalle ve sokak alanlarını eksiksiz doldurunuz.;Please fill province, district, neighborhood and street fields.
uncompatiblepass;Yeni parolalar birbirleriyle uyuşmuyor!;New passwords don't match!
samepass;Yeni parola, eskisiyle aynı olamaz!;New password cannot be the same as the current one!
successfullupdatepass;Parolanız başarıyla değiştirildi!;Password updated successfully!
failedupdatepass;Parolanız değiştirilemedi. Mevcut şifrenizi yanlış girmiş olabilirsiniz.;Failed to update the password. You may have entered your current password incorrectly.
successfulllogin;Giriş başarılı!;Login successfull!
